职业ID,职业名称,技能ID,技能名称,槽位,技能类型,解锁等级,资源类型,资源消耗,冷却毫秒,伤害倍率,射程,AOE半径,效果标签,skillEffect类型,skillEffect模式,游戏内描述,实现类型,实现说明,配置来源文件,主要代码文件
archer,弓手,archer_basic,精准射击,basic,basic,1,focus,0,800,1,55,0,,,,【普攻】对前方目标造成 100% 攻击力伤害。 冷却 0.8 秒。,basic_attack,普攻 — 走玩家普通攻击逻辑 Player.attack()，非 executeClassSkill,config/skill-config.json,js/game-entities.js (Player.attack)
archer,弓手,archer_skill1,后跳射击,skill1,active,3,focus,19,4600,0.6,105,0,utility,backstep,hybrid,【技能】后跳 100 码并射出 3 箭，每箭 60% 伤害。 消耗 19 点集中，冷却 4.6 秒。,hybrid:backstep,后跳 — 反向 blink + 多箭 takeDamage,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
archer,弓手,archer_skill2,毒箭,skill2,active,6,focus,24,5200,0.8,105,0,dot,poison_dot,hybrid,【技能】对 105 码内敌人造成 80% 攻击力伤害，附带持续毒伤。 消耗 24 点集中，冷却 5.2 秒。,hybrid:poison_dot,伤害+毒 DOT — player.weaponSkillDots 每秒 tick,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
archer,弓手,archer_skill3,快速射击,skill3,active,15,focus,37,7000,0,0,0,buff,attack_speed_buff,primary,【增益】快速射击：4 秒内攻击速度提升 40%。 消耗 37 点集中，冷却 7.0 秒。,primary:attack_speed_buff,攻速 Buff — player.buffs.effects.attackSpeedPercent,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
archer,弓手,archer_team,猎人印记,team,active,10,focus,30,6000,0,120,0,debuff,mark,primary,【标记】猎人印记：对 120 码内敌人施加印记 8 秒，对其伤害提升 15%。 消耗 30 点集中，冷却 6.0 秒。,primary:mark,标记 — monster._classSkillMark，getClassSkillMarkBonus 加成伤害,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
archmage,大法师,archmage_adv2_1,时空裂隙,adv2_1,active,45,mana,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点法力，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
archmage,大法师,archmage_adv2_2,元素融合,adv2_2,active,50,mana,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点法力，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
archmage,大法师,archmage_adv2_awaken,陨石术,adv2_awaken,active,40,mana,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点法力，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
archmage,大法师,archmage_legendary,法则掌控,legendary,passive,60,mana,0,0,0,135,0,passive,,,【传说被动】法则掌控：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
archmage,大法师,archmage_ultimate,奥术洪流,ultimate,active,55,mana,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点法力，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
assassin,刺客,assassin_basic,刺击,basic,basic,1,energy,0,800,1,55,0,,,,【普攻】对前方目标造成 100% 攻击力伤害。 冷却 0.8 秒。,basic_attack,普攻 — 走玩家普通攻击逻辑 Player.attack()，非 executeClassSkill,config/skill-config.json,js/game-entities.js (Player.attack)
assassin,刺客,assassin_skill1,背刺,skill1,active,3,energy,19,4600,1.5,105,0,,,,对 105 码内最近敌人造成 150% 攻击力伤害。 消耗 19 点能量，冷却 4.6 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
assassin,刺客,assassin_skill2,隐身,skill2,active,6,energy,24,5200,0,0,0,utility,stealth,primary,【潜行】隐身：4 秒内进入隐身，闪避大幅提升。 消耗 24 点能量，冷却 5.2 秒。,primary:stealth,潜行 — dodge/moveSpeed Buff,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
assassin,刺客,assassin_skill3,影步,skill3,active,15,energy,37,7000,0,0,0,utility,blink,primary,【位移】影步：向面朝方向瞬移 80 码。 消耗 37 点能量，冷却 7.0 秒。,primary:blink,位移 — blinkTo 瞬移 + 短暂无敌,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
assassin,刺客,assassin_team,毒刃,team,active,10,energy,30,6000,1,105,120,dot,poison_dot,hybrid,【技能】对周围 120 范围内敌人造成 100% 攻击力伤害，附带持续毒伤。 消耗 30 点能量，冷却 6.0 秒。,hybrid:poison_dot,伤害+毒 DOT — player.weaponSkillDots 每秒 tick,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
